original_url,basename,roles,posts,attempts,reasons
https://mothrly.com/wp-content/uploads/2026/05/Better-Sleep-in-the-Third-Trimester-1.png,better-sleep-in-the-third-trimester-1.png,featured,sleep-third-trimester-what-actually-helps,9,bingimages: too small (462 bytes) | bingimages: too small (468 bytes) | bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Preventing-Anaemia-During-Pregnancy.png,preventing-anaemia-during-pregnancy.png,featured,iron-deficiency-anaemia-pregnancy-india,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Embracing-Your-Pregnant-Body.png,embracing-your-pregnant-body.png,featured,pregnant-body-image-honest-guide,9,bingimages: below minimum resolution (42x42) | bingimages: too small (368 bytes)
https://mothrly.com/wp-content/uploads/2026/05/Understanding-Stillbirth-and-Loss.png,understanding-stillbirth-and-loss.png,featured,stillbirth-the-unspoken-loss,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Understanding-High-Risk-Pregnancy.png,understanding-high-risk-pregnancy.png,featured,high-risk-pregnancy-honest-guide,9,bingimages: below minimum resolution (42x42) | bingimages: too small (402 bytes)
https://mothrly.com/wp-content/uploads/2026/05/Pregnancy-Anxiety-Finding-Calm-During-Pregnancy.png,pregnancy-anxiety-finding-calm-during-pregnancy.png,featured,pregnancy-anxiety-honest-guide,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/104.png,104.png,featured,egg-freezing-facts-india,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/103.png,103.png,featured,trying-to-conceive-relationship-strain,9,bingimages: below minimum resolution (42x42) | bingimages: too small (450 bytes)
https://mothrly.com/wp-content/uploads/2026/05/102.png,102.png,featured,secondary-infertility-invisible-grief,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/101.png,101.png,featured,fertility-diet-evidence-based,9,bingimages: below minimum resolution (42x42) | bingimages: too small (436 bytes)
https://mothrly.com/wp-content/uploads/2026/05/100.png,100.png,featured,recurrent-pregnancy-loss-causes-and-treatment,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/99.png,99.png,featured,after-ivf-failure-what-happens-now,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/98.png,98.png,featured,ivf-honest-guide-india,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/97.png,97.png,featured,unexplained-infertility-what-tests-miss,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/96.png,96.png,featured,ovulation-fertile-window-science,9,bingimages: below minimum resolution (42x42) | bingimages: too small (472 bytes)
https://mothrly.com/wp-content/uploads/2026/05/95.png,95.png,featured,trying-to-conceive-emotional-reality,9,bingimages: below minimum resolution (42x42) | bingimages: too small (290 bytes)
https://mothrly.com/wp-content/uploads/2026/05/Baby-Eating-First-Solid-Foods.png,baby-eating-first-solid-foods.png,featured,introduction-of-solids-first-foods,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Mother-and-Toddler-in-Gentle-Weaning.png,mother-and-toddler-in-gentle-weaning.png,featured,weaning-gentle-transition,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Breastfeeding-and-Brain-Development.png,breastfeeding-and-brain-development.png,featured,breastfeeding-and-the-brain,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Mother-Breastfeeding-Older-Baby.png,mother-breastfeeding-older-baby.png,featured,extended-breastfeeding-cultural-scientific-case,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Father-Bottle-Feeding-His-Baby.png,father-bottle-feeding-his-baby.png,featured,formula-feeding-is-not-failure,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Working-Mother-Pumping-at-Office.png,working-mother-pumping-at-office.png,featured,breastfeeding-and-returning-to-work,9,
https://mothrly.com/wp-content/uploads/2026/05/Newborn-Receiving-Colostrum.png,newborn-receiving-colostrum.png,featured,colostrum-first-vaccine,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Healthy-Breastfeeding-Meal.png,healthy-breastfeeding-meal.png,featured,what-a-breastfeeding-mother-eats,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Mother-Getting-Breastfeeding-Support.png,mother-getting-breastfeeding-support.png,featured,breastfeeding-challenges-honest-guide,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Mother-Breastfeeding-Her-Baby.png,mother-breastfeeding-her-baby.png,featured,breast-milk-most-complex-biological-substance,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Mother-Bonding-With-Her-Newborn.png,mother-bonding-with-her-newborn.png,featured,mother-baby-bond-science-and-sacred,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/New-Mother-Coping-With-Postpartum-Depression.png,new-mother-coping-with-postpartum-depression.png,featured,postpartum-depression-is-biology,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Indian-Postpartum-Confinement.png,indian-postpartum-confinement.png,featured,indian-confinement-period-postpartum,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Safe-Sleep-Setup-for-Newborn.png,safe-sleep-setup-for-newborn.png,featured,newborn-safety-facts-every-parent-must-know,9,bingimages: below minimum resolution (42x42)
https://mothrly.com/wp-content/uploads/2026/05/Mother-Processing-a-Difficult-Birth.png,mother-processing-a-difficult-birth.png,featured,birth-trauma-is-real,9,bingimages: below minimum resolution (42x42)
